title,rating,body,y,cleaned_reviews,classes,cleaned_reviews_1,polarity,polarity_class
Do not get for standard hard cover books,3,this product does not fit any sort of “normal” book i own over 200 books and not a single one can fit onto this shelf regardless if it’s hard cover or soft it needs books that are not standard dimensions or ones that would stick out awkwardly from a normal bookcase i also dont feel comfortable putting heavier larger books if i do ever come across some,1,product fit sort normal book book singl one fit onto shelf regardless hard cover soft need book standard dimens one would stick awkwardli normal bookcas also dont feel comfort put heavier larger book ever come across,moderate,"['product', 'fit', 'sort', 'normal', 'book', 'book', 'singl', 'fit', 'shelf', 'regardless', 'hard', 'cover', 'soft', 'need', 'book', 'standard', 'dimens', 'stick', 'awkwardli', 'normal', 'bookca', 'feel', 'comfort', 'heavy', 'large', 'book', 'come']",0.1135416667,positive
Doesn’t hold weight,3,they are what they are but the amount of weight they hold is not much at all definitely not as much as claimed not even close,1,amount weight hold much definit much claim even close,moderate,"['weight', 'hold', 'definit', 'claim', 'close']",0.2,positive
needs clarification on size,3,i havent used the product so my rating isnt based on how it works  like many others i assumed that because it said large that it meant it would hold hardback books easily  not so  a standard hardback book wasnt wide enough to fit  it will take a very large book i guess textbook size to fit on the base shelf  im extremely disappointed as i didnt want to use books that large  hopefully others will see these reviews and not make the same mistake i did,1,havent use product rate isnt base work like mani other assum said larg meant would hold hardback book easili standard hardback book wasnt wide enough fit take larg book guess textbook size fit base shelf im extrem disappoint didnt want use book larg hope other see review make mistak,moderate,"['use', 'product', 'rate', 'base', 'work', 'like', 'mani', 'assum', 'say', 'larg', 'mean', 'hold', 'hardback', 'book', 'easili', 'standard', 'hardback', 'book', 'wide', 'fit', 'larg', 'book', 'guess', 'textbook', 'size', 'fit', 'base', 'shelf', 'extrem', 'disappoint', 'want', 'use', 'book', 'larg', 'hope', 'review', 'mistak']",-0.1277777778,negative
Not stable feeling. Too deep.,2,i loved the idea of these i pondered and read reviews and looked at these compared to the smaller types available but i’m unable to use these they’re too big for any books i have and the books large enough to go on them are the size of a high school year book and it doesn’t seem stable enough for that much offset weighti also wish they had four holes instead of just two,0,love idea ponder read review look compar smaller type avail unabl use big book book larg enough go size high school year book seem stabl enough much offset weighti also wish four hole instead two,bad,"['love', 'idea', 'ponder', 'read', 'review', 'look', 'compar', 'small', 'type', 'avail', 'unabl', 'use', 'big', 'book', 'book', 'larg', 'size', 'high', 'school', 'year', 'book', 'stabl', 'offset', 'weighti', 'wish', 'hole', 'instead']",0.1228571429,positive
Cool idea that is boring by the time you get it,2,hope you like holes in your wall,0,hope like hole wall,bad,"['hope', 'like', 'hole', 'wall']",0,neutral
Doesn’t fit any of my 50+ books,3,doesn’t fit any of the 50 books i have in my home all of the pictures on the product page looked pretty standard so i guess i should have verified measurements,1,fit book home pictur product page look pretti standard guess verifi measur,moderate,"['fit', 'book', 'home', 'pictur', 'product', 'page', 'look', 'pretti', 'standard', 'guess', 'verifi', 'measur']",0.2,positive
I really wanted to LOVE these.... :(,3,i bought a few of these to hold my cookbooks while they are under the weight limit and the book lenght is not an issue the shelf sags because the books are wider than the base they hang off the end by a few inches and if i have more than three wich is less than 12 lbs they sag i like the concept but they wont work for what i need sadly and now i have to patch holes in my wall which is an extra bummer,1,bought hold cookbook weight limit book lenght issu shelf sag book wider base hang end inch three wich less lb sag like concept wont work need sadli patch hole wall extra bummer,moderate,"['buy', 'hold', 'cookbook', 'weight', 'limit', 'book', 'lenght', 'issu', 'shelf', 'sag', 'book', 'wide', 'base', 'hang', 'end', 'inch', 'wich', 'sag', 'like', 'concept', 'work', 'need', 'sadli', 'patch', 'hole', 'wall', 'extra', 'bummer']",-0.3222222222,negative
Check the size before you order,3,ours is too big for standard books defeating the purpose,1,big standard book defeat purpos,moderate,"['big', 'standard', 'book', 'defeat', 'purpo']",0,neutral
The shelf part that is supposed to fit inside the ...,2,the shelf part that is supposed to fit inside the back cover of my hardback books was too long for any of my books and the back of the book wouldnt reach the 2 little tabs to hold it up i had to cut 58 off the end of the shelf to fit the books i know i have standard size hardbacks all of my hardbacks are the same size in width from opening to spine,0,shelf part suppos fit insid back cover hardback book long book back book wouldnt reach littl tab hold cut end shelf fit book know standard size hardback hardback size width open spine,bad,"['shelf', 'suppos', 'fit', 'insid', 'cover', 'hardback', 'book', 'long', 'book', 'book', 'reach', 'littl', 'tab', 'hold', 'cut', 'end', 'shelf', 'fit', 'book', 'know', 'standard', 'size', 'hardback', 'hardback', 'size', 'width', 'open', 'spine']",0.1071428571,positive
Get the single shelf,2,i bought this and a single shelve for a display in my kitchen the single shelve holds the books straight and makes me feel confident that the books wont fall this double shelve felt more flimsy as i was putting it up and it doesnt hold the books as straight so far everything had stayed in place but there is nothing i can do about how uneven the books look i would rather opt for two single ones instead,0,bought singl shelv display kitchen singl shelv hold book straight make feel confid book wont fall doubl shelv felt flimsi put doesnt hold book straight far everyth stay place noth uneven book look would rather opt two singl one instead,bad,"['buy', 'singl', 'shelv', 'display', 'kitchen', 'singl', 'shelv', 'hold', 'book', 'straight', 'feel', 'confid', 'book', 'fall', 'doubl', 'shelv', 'feel', 'flimsi', 'hold', 'book', 'straight', 'far', 'everyth', 'stay', 'place', 'noth', 'uneven', 'book', 'look', 'opt', 'singl', 'instead']",0.075,positive
not well designed,3,i think i should have just gotten multiple single bookshelves rather than the double bookshelves because there are three horizontal holes for screws in the double which arent spaced far enough for all of them to reach a stud so instead i used a longer screw to reinforce the center of the shelf into a stud with the smaller screws that came with it on the outer holes but that involved drilling a larger hole into the center it seems like itd be easier just to get a single which could fit all screws into one stud,1,think gotten multipl singl bookshelv rather doubl bookshelv three horizont hole screw doubl arent space far enough reach stud instead use longer screw reinforc center shelf stud smaller screw came outer hole involv drill larger hole center seem like itd easier get singl could fit screw one stud,moderate,"['think', 'get', 'multipl', 'singl', 'bookshelv', 'doubl', 'bookshelv', 'horizont', 'hole', 'screw', 'doubl', 'space', 'far', 'reach', 'stud', 'instead', 'use', 'long', 'screw', 'reinforc', 'center', 'shelf', 'stud', 'small', 'screw', 'come', 'outer', 'hole', 'involv', 'drill', 'large', 'hole', 'center', 'like', 'easy', 'singl', 'fit', 'screw', 'stud']",0.04285714286,positive
I love these floating bookshelves but with the large one,2,i love these floating bookshelves but with the large one my problem is that it doesnt fit any of my big hardcover books the only ones it would fit where the hardcover graphic novels i have and the illustrated harry potter book but any standard hardcover book would not fit and that was the whole reason why i purchased the large one im​ curious if anyone else has had this problem,0,love float bookshelv larg one problem doesnt fit big hardcov book one would fit hardcov graphic novel illustr harri potter book standard hardcov book would fit whole reason purchas larg one im curiou anyon els problem,bad,"['love', 'float', 'bookshelv', 'larg', 'problem', 'fit', 'big', 'hardcov', 'book', 'fit', 'hardcov', 'graphic', 'novel', 'illustr', 'harri', 'potter', 'book', 'standard', 'hardcov', 'book', 'fit', 'reason', 'purcha', 'larg', 'curiou', 'anyon', 'el', 'problem']",0.2375,positive
these cost more than they should.,3,nice product but costly for what you get  manufacturing costs would not support the retail price  from the packaging it looks like you are getting multiple pieces per package but these are packed individually  it doesnt matter what color you get since they are completely hidden  buy the cheapest,1,nice product costli get manufactur cost would support retail price packag look like get multipl piec per packag pack individu doesnt matter color get sinc complet hidden buy cheapest,moderate,"['nice', 'product', 'costli', 'manufactur', 'cost', 'support', 'retail', 'price', 'packag', 'look', 'like', 'multipl', 'piec', 'packag', 'pack', 'individu', 'matter', 'color', 'sinc', 'complet', 'hidden', 'buy', 'cheap']",0.2166666667,positive
misleading,3,i was excited to get these for my new house i was a little upset that the depth was off i also felt like the description was misleading the description made it sound like they could hold up to 15lbs of books but i put a few books on them and they seem unstable i like the way they look but wouldnt put more than 23 paperback books on them,1,excit get new hous littl upset depth also felt like descript mislead descript made sound like could hold lb book put book seem unstabl like way look wouldnt put paperback book,moderate,"['excit', 'new', 'hous', 'littl', 'upset', 'depth', 'feel', 'like', 'descript', 'mislead', 'descript', 'sound', 'like', 'hold', 'book', 'book', 'unstabl', 'like', 'way', 'look', 'paperback', 'book']",0.2681818182,positive
Not quite what I expected,3,i love the idea but it’s a little flimsier than expected kind of bounces and leans downward i also didn’t realize that the larger size would only work with much larger books bought this to hold novels but the conceal feature only works with big books like art or text books,1,love idea littl flimsier expect kind bounc lean downward also realiz larger size would work much larger book bought hold novel conceal featur work big book like art text book,moderate,"['love', 'idea', 'littl', 'flimsier', 'expect', 'kind', 'bounc', 'lean', 'downward', 'realiz', 'large', 'size', 'work', 'large', 'book', 'buy', 'hold', 'novel', 'conceal', 'featur', 'work', 'big', 'book', 'like', 'art', 'text', 'book']",0.22,positive
To big for novels,3,the base that holes the books is to big my books don’t touch the wall these are for texts books not novels,1,base hole book big book touch wall text book novel,moderate,"['base', 'hole', 'book', 'big', 'book', 'touch', 'wall', 'text', 'book', 'novel']",-0.4,negative
Junk,1,this is just junk compared to the other brand i purchased,0,junk compar brand purchas,bad,"['junk', 'compar', 'brand', 'purcha']",0,neutral
Heavy and large,3,much bigger and heavier than i expected  i ended up not hanging then because i was afraid that with the weight of books they wouldnt stay up,1,much bigger heavier expect end hang afraid weight book wouldnt stay,moderate,"['big', 'heavy', 'expect', 'end', 'hang', 'afraid', 'weight', 'book', 'stay']",-0.3,negative
Missing items,1,i ordered this set of 3 and only 2 arrived without anything to hang them with as well,0,order set arriv without anyth hang well,bad,"['order', 'set', 'arriv', 'anyth', 'hang']",0,neutral
But I have a lot of them around the house as they look great and work really well when you don't have room ...,3,these are a tad to big for most of my books but i have a lot of them around the house as they look great and work really well when you dont have room for bookshelves,1,tad big book lot around hous look great work realli well dont room bookshelv,moderate,"['tad', 'big', 'book', 'lot', 'hous', 'look', 'great', 'work', 'realli', 'room', 'bookshelv']",0.4,positive
Disappointed,2,usually dont write reviews but i am quite disappointed with this product  for the price they could have used thicker metal so it wouldnt bend with just 45 books on it  how about using some counter sunk screws that extra space would be helpful to get the book flush against the wall  was going to buy more but i may just start making my own that dont bend,0,usual dont write review quit disappoint product price could use thicker metal wouldnt bend book use counter sunk screw extra space would help get book flush wall go buy may start make dont bend,bad,"['usual', 'write', 'review', 'quit', 'disappoint', 'product', 'price', 'use', 'thick', 'metal', 'bend', 'book', 'use', 'counter', 'sink', 'screw', 'extra', 'space', 'help', 'book', 'flush', 'wall', 'buy', 'start', 'bend']",-0.125,negative
a screwy situation,3,i returned this shelf for one with screws the second one i received still had no screws my husband said aww screw it well buy screws i feel like we got screwed it still looks absolutely gorgeous in my sons room i just wish it can complete,1,return shelf one screw second one receiv still screw husband said aww screw well buy screw feel like got screw still look absolut gorgeou son room wish complet,moderate,"['return', 'shelf', 'screw', 'second', 'receiv', 'screw', 'husband', 'say', 'aww', 'screw', 'buy', 'screw', 'feel', 'like', 'got', 'screw', 'look', 'absolut', 'gorgeou', 'son', 'room', 'wish', 'complet']",0.15,positive
Needs to be more universal,2,have to own a very particular sized book to actually make it look right its a decent shelf but not exactly what they promised,0,particular size book actual make look right decent shelf exactli promis,bad,"['particular', 'size', 'book', 'actual', 'look', 'right', 'decent', 'shelf', 'exactli', 'promis']",0.1547619048,positive
Un uh.,2,this this sucks when i found a book wide enough to fit on it the shelf didnt extend far enough to keep the book from just falling forward off of it its hard to believe consumer testing was done on this thing and i had to put holes in my wall to figure out it didnt work as advertised,0,suck found book wide enough fit shelf didnt extend far enough keep book fall forward hard believ consum test done thing put hole wall figur didnt work advertis,bad,"['suck', 'find', 'book', 'wide', 'fit', 'shelf', 'extend', 'far', 'book', 'fall', 'forward', 'hard', 'believ', 'consum', 'test', 'thing', 'hole', 'wall', 'figur', 'work', 'advertis']",0.01805555556,positive
Missing hardware.,2,i ordered 2 sets of these and one box is missing the installation hardware now i have to go out and spend more money and try to match it up very disappointed,0,order set one box miss instal hardwar go spend money tri match disappoint,bad,"['order', 'set', 'box', 'miss', 'instal', 'hardwar', 'spend', 'money', 'tri', 'match', 'disappoint']",0,neutral
Concealed?,2,the idea behind concealing books on the wall sounds good however the application is a bit flawed i used this shelf and it workbut please dont try to reuse it or move it its not made from the sturdiest material consider yourself warned,0,idea behind conceal book wall sound good howev applic bit flaw use shelf workbut pleas dont tri reus move made sturdiest materi consid warn,bad,"['idea', 'conceal', 'book', 'wall', 'sound', 'good', 'howev', 'applic', 'bit', 'flaw', 'use', 'shelf', 'workbut', 'plea', 'tri', 'reus', 'sturdy', 'materi', 'consid', 'warn']",0.2333333333,positive
"IMO it sits too far out on the wall, ...",3,imo it sits too far out on the wall making it look awkward and not fitting with the flow of the room the book has to be at least a minimum size so there is no way to fix this i hung with hollow wall hangers and it still feels flimsy after about 8 books,1,imo sit far wall make look awkward fit flow room book least minimum size way fix hung hollow wall hanger still feel flimsi book,moderate,"['imo', 'sit', 'far', 'wall', 'look', 'awkward', 'fit', 'flow', 'room', 'book', 'minimum', 'size', 'way', 'fix', 'hang', 'hollow', 'wall', 'hanger', 'feel', 'flimsi', 'book']",-0.1,negative
This is great for large books,3,i purchased the individual ones as well  they are much better  this is for large books  i recommend owning at least 12 large books before considering this item  the individual ones are more ideal  you can get different sizes for different sized books,1,purchas individu one well much better larg book recommend own least larg book consid item individu one ideal get differ size differ size book,moderate,"['purchas', 'individu', 'well', 'larg', 'book', 'recommend', 'larg', 'book', 'consid', 'item', 'individu', 'ideal', 'differ', 'size', 'differ', 'size', 'book']",0.425,positive
Not the Right Size for Books,2,easy to install but not the right size for books the shelves are too long to fit most books covers to get the “floating effect” disappointed,0,easi instal right size book shelv long fit book cover get float effect disappoint,bad,"['easi', 'instal', 'right', 'size', 'book', 'shelv', 'long', 'fit', 'book', 'cover', 'float', 'effect', 'disappoint']",0.2119047619,positive
Not very stable,2,we wanted a quick solution to stacking textbooks altogether weight was 20lbs was spread over 3 shelves and all shelves seem flimsy even when screwed into stud,0,want quick solut stack textbook altogeth weight lb spread shelv shelv seem flimsi even screw stud,bad,"['want', 'quick', 'solut', 'stack', 'textbook', 'altogeth', 'weight', 'spread', 'shelv', 'shelv', 'flimsi', 'screw', 'stud']",0.3333333333,positive
These are really flimsy and do not actually hold the ...,1,these are really flimsy and do not actually hold the weightsize of book described the packaging says they hold 20 pounds which is not correct 13 pounds and 9 books would be more accurate they bend and hang off the wall when you put the weightsize described on them,0,realli flimsi actual hold weightsiz book describ packag say hold pound correct pound book would accur bend hang wall put weightsiz describ,bad,"['realli', 'flimsi', 'actual', 'hold', 'weightsiz', 'book', 'describ', 'packag', 'hold', 'pound', 'correct', 'pound', 'book', 'accur', 'bend', 'hang', 'wall', 'weightsiz', 'describ']",0,neutral
Cool idea. Okay in reality.,3,these are great in theory however they dont hold a lot of weight and you need a huge hardcover book on the bottom thus making up most of your weight ive had two of them just dump the books on the floor unceremoniously,1,great theori howev dont hold lot weight need huge hardcov book bottom thu make weight ive two dump book floor unceremoni,moderate,"['great', 'theori', 'howev', 'hold', 'lot', 'weight', 'need', 'huge', 'hardcov', 'book', 'thu', 'weight', 'dump', 'book', 'floor', 'unceremoni']",0.6,positive
Very small,3,ye i was one of those look at photo known readers and thought this would be bigger it however seems strong enough and would meet the need so its ok will make it work just half the size of the photos,1,ye one look photo known reader thought would bigger howev seem strong enough would meet need ok make work half size photo,moderate,"['look', 'photo', 'know', 'reader', 'thought', 'big', 'howev', 'strong', 'meet', 'need', 'work', 'half', 'size', 'photo']",0.1533333333,positive
Two Stars,2,i bought the large size but guess its made for even smaller books than the instructions says,0,bought larg size guess made even smaller book instruct say,bad,"['buy', 'larg', 'size', 'guess', 'small', 'book', 'instruct']",0,neutral
It works,3,the horizontal plane extends just a bit too far out my hardback book collection has a pretty wide range of sizes only coffee table books fit as the bottom book ending up clumsy and tacky i had to use a rubber band to secure the cover on the bottom book other than that sufficient hardware and strong metal make it trustworthy,1,horizont plane extend bit far hardback book collect pretti wide rang size coffe tabl book fit bottom book end clumsi tacki use rubber band secur cover bottom book suffici hardwar strong metal make trustworthi,moderate,"['horizont', 'plane', 'extend', 'bit', 'far', 'hardback', 'book', 'collect', 'pretti', 'wide', 'rang', 'size', 'coffe', 'tabl', 'book', 'fit', 'book', 'end', 'clumsi', 'tacki', 'use', 'rubber', 'band', 'secur', 'cover', 'book', 'suffici', 'hardwar', 'strong', 'metal', 'trustworthi']",0.2083333333,positive
Came scratched up,2,i bought two of these  one of them came shipped with all kinds of scratches on it even though it was supposedly brand new  so if you want inferior manufacturing standards at high prices buy umbra,0,bought two one came ship kind scratch even though supposedli brand new want inferior manufactur standard high price buy umbra,bad,"['buy', 'come', 'ship', 'kind', 'scratch', 'supposedli', 'brand', 'new', 'want', 'inferior', 'manufactur', 'standard', 'high', 'price', 'buy', 'umbra']",0.2240909091,positive
would not put too many books on it. i ...,3,would not put too many books on it i have my surround speakers on these and they just provide additional support they would not hold the speakers themselves,1,would put mani book surround speaker provid addit support would hold speaker,moderate,"['mani', 'book', 'surround', 'speaker', 'provid', 'addit', 'support', 'hold', 'speaker']",0,neutral
Two Stars,2,misleading said hardware included but this package came with no mounting screws of any kind,0,mislead said hardwar includ packag came mount screw kind,bad,"['mislead', 'say', 'hardwar', 'includ', 'packag', 'come', 'mount', 'screw', 'kind']",0.6,positive
Good concept but disappointed with experience.,1,i bought 2 shelves one bent too easily while being installed and it didnt come with enough of the correct hardware needed 6 screws onlycamewith 2  most disappointing amazon purchase experience,0,bought shelv one bent easili instal didnt come enough correct hardwar need screw onlycamewith disappoint amazon purchas experi,bad,"['buy', 'shelv', 'bent', 'easili', 'instal', 'come', 'correct', 'hardwar', 'need', 'screw', 'onlycamewith', 'disappoint', 'amazon', 'purchas', 'experi']",0,neutral
Three Stars,3,to expensive for the quality,1,expens qualiti,moderate,"['expens', 'qualiti']",0,neutral
Good for limiting the number of books I check out,3,sometimes i check out too many books this item is good for carrying and limiting the larger books i check out it can hold up to 20 lbs and a 10 max book depth,1,sometim check mani book item good carri limit larger book check hold lb max book depth,moderate,"['sometim', 'check', 'mani', 'book', 'item', 'good', 'carri', 'limit', 'large', 'book', 'check', 'hold', 'max', 'book', 'depth']",0.35,positive
Meh,2,they dont hold much and they tilt downwards,0,dont hold much tilt downward,bad,"['hold', 'tilt', 'downward']",0.2,positive
Poor execution.,1,these arrived with scratches all over them and the finish worn off in places i had to return,0,arriv scratch finish worn place return,bad,"['arriv', 'scratch', 'finish', 'wear', 'place', 'return']",0,neutral
Eh - it's cute.,3,nice shelf but the metal is not that strong and will not carry anywhere near the weight it claims  nice for show not so much for use,1,nice shelf metal strong carri anywher near weight claim nice show much use,moderate,"['nice', 'shelf', 'metal', 'strong', 'carri', 'anywher', 'near', 'weight', 'claim', 'nice', 'use']",0.3866666667,positive
Love them but I wish they worked for standard size ...,3,love them but i wish they worked for standard size books  needed to find larger books to fit on the bottom,1,love wish work standard size book need find larger book fit bottom,moderate,"['love', 'wish', 'work', 'standard', 'size', 'book', 'need', 'find', 'large', 'book', 'fit']",0.225,positive
Very flimsy. Cannot carry very heavy loads. Not ...,3,very flimsy  cannot carry very heavy loads  not what i expected but will work with a couple books mounted to it,1,flimsi cannot carri heavi load expect work coupl book mount,moderate,"['flimsi', 'carri', 'heavi', 'load', 'expect', 'work', 'coupl', 'book', 'mount']",0,neutral
